,date,Operador,Militar,Ruta_vuelo,Tipo_vuelo_Nac_Int,Lugar_accidente,flight_no,ac_type,registration,cn_ln,all_aboard,passengers,crew_aboard,Total_fatalities,passenger_fatalities,crew_fatalities,ground_fatalities,summary,take_off,landing,hijacked,lost_contact
24,2001-07-04 02:08:00,Vladivostokavia,0,"Irkutsk,Vladivostok,Yekaterinburg-ru",0,"Near Irkutsk, Russia",352,Tupolev TU-154M,RA-85845,86A-735,145,136,9,145,136,9,0,"The plane crashed and exploded in flames in Siberian woodlands near the village of Burdakovka, about 21 miles from Irkutsk. The aircraft crashed during the third turn in a landing approach to Irkutsk, an intermediate stop for refueling. The first officer was flying the plane, when at 2,600 ft., an audible alarm sounded indicating a wide angle of attack. Eleven seconds later the aircraft swung around 180 degrees and entered a flat spin. The captain ordered the engines at full throttle but it was too late and 22 seconds later the plane hit the ground, belly first, broke up and burned. Incorrect actions of the crew. Due to poor communication between pilots, they put in the wrong parameters while landing causing the plane to descend at the wrong angle. As a result, the plane stalled and entered a spin and crashed.",0,1,0,0
25,2001-07-05 11:40:00,Private  - Daewoo Shipbuilding,0,No_identificado,2,"Off Chinhae, South Korea",?,Sikorsky S-76B helicopter,HL9240,760341,12,9,3,8,7,1,0,"After several delays in taking off, the helicopter crashed into the sea, just off shore, after striking a electric transmission tower. The accident took place in heavy monsoon rains, poor visibility and high winds. The pilot stated he lost control of the helicopter when it was hit by a sudden gust of wind.",1,0,0,0
26,2001-07-12 12:05:00,Private - Overtec Company,0,"Caracas,Puerto Cabello-ve",0,"Near Puerto Cabello, Venezuela",?,Antonov AN-28 PZL-Mielec M-28 Sky Truck,YV-117CP,AJE 001-10,13,10,3,13,10,3,0,The aircraft crashed and burned moments after taking off from General Bartholomew Salóm Airport during a National Guard demonstration. The right engine appeared to have failed at a critical stage in the takeoff. There were 8 civilians and 5 military personnel board.,1,0,0,0
27,2001-07-14 08:53:00,Russ Air Transport Company,0,"Moscow,Norilsk-ru",0,"Near Moscow, Russia",?,Ilyushin IL-76,RA-76588,0043451530,10,0,10,10,0,10,0,"The cargo plane was taking off from Chkalovsky Airport with a load of construction material and cosmetics. After reaching a height of 150 feet, the plane the crashed and burned 1,600 feet past the end of the runway.  The plane was overloaded by 15 tones.",1,0,0,0
28,2001-08-05 04:43:00,Naske Air,0,"gl,is",1,"Reykjavík, Iceland",?,Dassault Falcon 20C,D-CBNA,63,3,1,2,3,1,2,0,The cargo plane crashed into a hill and broke up. Crew did not follow standard operating procedures. Crew fatigue.,0,0,0,0
29,2001-08-10 14:35:00,Papillon Grand Canyon Helicopters of Las Vegas,0,"Grand Canyon NP,Las Vegas-us",0,"Near Meadview, Arizona",?,Aerospatiale AS350 Eurocopter  helicoper,N169PA,2477,7,6,1,6,5,1,0,"The sightseeing helicopter crashed and burned about 3,700 feet up the 5,600-foot Grand Wash Cliffs just outside the boundaries of Grand Canyon National Park. The aircraft was returning to McCarran International Airport where it had originated. Besides the pilot, all victims, including the one survivor, were members of the same family. The pilot's decision to maneuver the helicopter in a flight regime and in a high density altitude environment which significantly decreased the helicopter's performance capabilities, resulting in a high rate of descent from which recovery was not possible. Factors contributing to the accident were high density altitude and the pilot's decision to maneuver the helicopter in proximity to precipitous terrain, which effectively limited remedial options available.",0,0,0,0
30,2001-08-23 00:00:00,Victoria Airlines,0,"Kama,Kapmene-ru",0,"Mugogo, Democratic Republic Congo",?,Antonov 28,3C-LLA,1AJ005-22,11,9,2,4,2,2,0,After an engine failed the crew declared an emergency and elected to divert to Bukavu but crashed 10 km short of the airport.,0,0,0,0
31,2001-08-24 05:42:00,Ameristar Jet Charter,0,"Ithaca,Jackson,MI,NY-us",0,"Ithaca, New York",?,Learjet 25,N153TW,25-053,2,0,2,2,0,2,0,"Shortly after taking off the cargo plane crashed into a wooded area about one-half mile from the runway. The pilot's failure to maintain a proper climb rate while taking off at night, which was a result of spatial disorientation. Factors in the accident were the low visibility and cloud conditions, and the dark night.",1,0,0,0
32,2001-08-24 18:46:00,Air Transat,0,"ca,pt",1,"Lajes, Terceira, Azores",236,Airbus A-330-243,C-GITS,0271,304,291,13,0,0,0,0,"The crew reported that they had a loss of fuel and were going to have to divert to Lajes AFB. Shortly thereafter, they said that they only had five minutes of fuel and probably would not reach Lajes. The Airbus 330, without engine power, glided for almost 20 minutes, descending from for more than 30,000 ft. before landing safely at Lajes Airport. Several tires blew out causing a fire which was quickly extinguished by emergency crews.  Eleven passengers were slightly injured. The leak was caused by a damaged fuel feed pipe that was caused by interference from the aft hydraulic pump. Mechanics did not completely follow a Rolls-Royce service bulletin. In addition, software mistakenly identified the  fuel leak as a fuel imbalance, prompting the crew to respond erroneously to the situation. The official report stated the cause was the pilots responded incorrectly to the fuel leak.  The pilots acted from memory rather than utilizing a checklist, so they never saw a ""Caution"" note in the Fuel Imbalance checklist that might have caused them to consider that the real problem was not an imbalance but a fuel leak.",0,1,0,0
33,2001-08-29 10:15:00,Binter Mediterráneo,0,"Melilla,Málaga-es",0,"Near Malaga, Spain",8261,CASA  CN-235-200,EC-FBC,C033,47,44,3,4,3,1,0,"The aircraft crash-landed on a highway near Ruiz Picasso Airport in Málaga. While on final approach, the pilot reported failure of the plane's left engine forcing the crew to make an emergency landing.  The plane crashed 1,300 ft. short of the runway. The pilot later died of his injuries.",0,1,0,0
34,2001-09-11 09:45:00,American Airlines,0,"Los Angeles,Washington D.C.-us",0,"Arlington, Virginia.",77,Boeing B-757-223,N644AA,24602/365,64,58,6,64,58,6,125,The aircraft was hijacked after taking off from Dulles International Airport. The hijackers took control of the aircraft and deliberately crashed it into the Pentagon. It was one of four planes that were hijacked the same day.,1,0,1,0
35,2001-09-11 08:47:00,American Airlines,0,"Boston,Los Angeles-us",0,"New York City, New York",11,Boeing 767-223ER,N334AA,22332/169,92,81,11,92,81,11,2750,"The aircraft was hijacked shortly after it left Logan International Airport in Boston. The hijackers took control of the aircraft and deliberately crashed it into the north tower of the World Trade Center between the 94th and 99th floors at approximately 450 mph.  After 102 minutes, the building collapsed. It was one of four planes that were hijacked the same day.",0,0,1,0
36,2001-09-11 09:03:00,United Air Lines,0,"Boston,Los Angeles-us",0,"New York City, New York",175,Boeing B-767-222,N612UA,21873/41,65,56,9,65,56,9,2750,"The aircraft was hijacked shortly after it left Logan International Airport in Boston. The hijackers took control of the aircraft and deliberately crashed it into the south tower of the World Trade Center between the 78th and 84th floors at approximately 550 mph. After 56 minutes, the building collapsed. It was one of four planes that were hijacked the same day.",0,0,1,0
37,2001-09-11 10:03:00,United Air Lines,0,"Newark,San Francisco-us",0,"Shanksville, Pennsylvania",93,Boeing B-757-222,N591UA,28142/718,44,37,7,44,37,7,0,The aircraft was hijacked after taking off from Newark International Airport. The hijackers took control of the aircraft and turned the plane towards Washington D.C.  A struggle ensued between the passengers and hijackers after which the plane crashed at a high rate of speed into a field in the Pennsylvania countryside. It was one of four planes that were hijacked the same day.,1,0,1,0
38,2001-09-12 16:25:00,Aero Ferinco Charter,0,"Chichen Itza,Cozumel-mx",0,"Near Chichen Itza, Mexico",-,LET 410UVP,XA-ACM,892401,19,17,2,19,17,2,0,"The aircraft crashed 4.4 miles from Kura Airport shortly after a normal takeoff. The plane was flying at about 1,500 feet when it began turning onto a course requested by the air traffic controller. It did not stop turning and suddenly plunged to the ground.",1,0,0,0
39,2001-09-15 00:00:00,TAM (Brazil),0,"Recife,Sao Paulo-br",0,"Belo Horizonte, Brazil",9755,Fokker 100,PT-MRN,11443,82,77,5,1,1,0,0,"While the aircraft was over Belo Horizonte, the cabin depressurized, causing the death of one passenger. The aircraft made an emergency landing at Cofins. Three of the other 77 passengers aboard suffered minor injuries. Pressurization was lost at an altitude of  33,000 feet when the right engine disintegrated, causing pieces of the engine to break two cabin windows.",0,1,0,0
40,2001-09-18 07:30:00,Atlantic Airlines,0,"gt,hn",1,"Guatemala City, Guatemala",870,LET 410UVP-E,TG-CPE,861705,13,11,2,9,8,1,0,The aircraft was taking off from Guatemala's Aurora Airport when it lost power in one of it's engines and crashed to the ground.,1,0,0,0
41,2001-10-04 13:44:00,Sibir Airlines,0,"il,ru",1,"110 miles SW of Sochi, Russia",1812,Tupolev Tu-154M,RA-85693,90A-866,78,66,12,78,66,12,0,"The aircraft exploded in mid-air at 36,000 ft. while  en route over the Black Sea. The plane then nose-dived crashing into the water. The airliner was brought down accidentally by a Ukrainian surface-to-air missile, fired during military exercises.",0,0,0,0
42,2001-10-08 17:50:00,Air Saint Maurice Inc.,0,No_identificado,2,"Mollet Lake, Quebec, Canada",?,de Havilland DHC-2 Mk 1 Beaver,C-GPUO,810,7,6,1,3,2,1,0,The seaplane crashed into Mollet Lake while attempting to land. The seaplane stalled at an altitude that did not allow the pilot time to recover from the stall. The stall occurred in circumstances conducive to illusions created by drift.,0,1,0,0
43,2001-10-08 08:10:00,Scandinavian Airlines (SAS) / Private,0,"dk,fr,it",1,"Milan, Italy",686 / -,MD-87 / Cessna 525A Citation II,SE-DMA / D-IEVX,53009/ 525A-0036,114,106,8,114,106,8,4,"The MD-87 aircraft was taking off from Linate Airport in fog and poor visibility when it struck a German Cessna Citation II business jet. The MD-87 rotated for takeoff and did make it into the air for 9 seconds, but was too damaged to sustain flight. The plane then swerved off the runway and  collided with the airport's baggage handling building, bursting into flames. The Cessna,  which was about to take off for Paris, entered the active runway by mistake, after  having been told by the tower to enter a different taxiway and hold short of the runway. One hundred four passengers and 6 crew on the MD-87 and  2 passengers and 2 crew on the Citation were killed along with 4 on the ground. The MD-87 was named Lage Viking.  Caused largely by human error and poorly followed safety procedures and improper terminology used by the tower. Communication between the aircraft and the tower had been ""in English and Italian,"" as opposed to aviation standards that only English be spoken. In addition, despite the poor visibility and inadequately marked airport landmarks, the control tower operators failed to ask the Cessna to read back his instructions to make sure they were understood. There was no ground radar, runway motion sensors were turned off and it took 20 minutes before anyone realized the two planes had collided.",1,1,0,0
44,2001-10-10 10:42:00,Flightline,0,"dz,es",1,"Off Valencia, Spain",101,Swearingen SA-226AT Merlin IV,EC-GDV,AT-043,10,8,2,10,8,2,0,"The plane was en-route from Barcelona, Spain to Oran, Algeria, 80 miles off the coast of Valencia, Spain when it informed Valencia ATC it was going to change course in order to avoid bad weather. There was no further contact with the aircraft. Debris was sighted two days later on the water. Electrical power was presumably lost following a lightning strike. Control was lost and the airplane crashed into the sea.",0,0,0,0
45,2001-10-10 09:26:00,PenAir,0,"Dillingham,King Salmon-us",0,"Dillingham, Alaska",350,Cessna 208 Caravan,N9530F,20800088,10,9,1,10,9,1,0,"Shortly after taking off from Dillingham, the aircraft's wing dipped, the nose pitched up, the plane became inverted and crashed to the ground. The weather was clear and windy at the time of the accident. An in-flight loss of control resulting from upper surface ice contamination that the pilot-in-command failed to detect during his preflight inspection of the airplane. Contributing to the accident was the lack of a preflight inspection requirement for CE-208 pilots to examine at close range the upper surface of the wing for ice contamination when ground icing conditions exist.",1,0,0,0
46,2001-10-11 23:35:00,Perimeter Airlines,0,"Gods Narrows,Shamattawa-ca",0,"Shamattawa, Canada",?,Swearingen SA.226TC Metro I,C-GYPA,TC-250,3,1,2,2,0,2,0,"The air ambulance was flown into terrain during an overshoot because the required climb angle was not set and maintained to ensure a positive rate of climb. During the go-around, conditions were present for somatogravic illusion, which most likely led to the captain losing situational awareness.",0,0,0,0
47,2001-10-18 15:43:00,ERA Aviation - Air Taxi,0,"AK,AK,Anchorage,Fire Island-us",0,"Anchorage, Alaska",?,Bell 206L,N400EH,45108,5,4,1,3,2,1,0,"The helicopter was flying very low because the pilot was not instrument rated. The skid hit the water followed by the tail rotor and the helicopter crashed. The pilot's failure to maintain clearance from the surface of an open body of water while intentionally attempting to maintain a very low altitude while in cruise flight. Factors include falling snow, low ceilings, whiteout/greyout conditions, and flat/glassy water.",0,0,0,0
48,2001-11-12 09:16:00,American Airlines,0,"us,do",1,"Belle Harbor, Queens, New York",587,Airbus A-300-605R,N14053,420,260,251,9,260,251,9,5,"Three minutes after taking off and while in a climbing left turn, at 2,800 ft., parts of the plane, including the vertical stabilizer and rudder, fell from the aircraft. The crew soon lost control of the plane which nose dived and crashed into a residential neighborhood. After flying into the wake turbulence of two aircraft about two minutes into the flight, investigators believe a series of quick rudder swings by the copilot whipped the tail so severely that the fin broke off. The National Transportation Safety Board has found that pilot error was the probable cause. Sharply criticizing American Airlines Advanced Aircraft Maneuvering Program, the Board said that American Airlines' pilot training included a simulator exercise which could have caused the first officer to have an unrealistic and exaggerated view of the effects of wake turbulence, erroneously associate wake turbulence encounters with the need for aggressive roll upset recovery techniques and develop control strategies that would produce a much different -- and potentially surprising and confusing -- response if performed during flight. In addition, because of its high sensitivity, the Airbus A-300-600 rudder control system is susceptible to potentially hazardous rudder pedal inputs at higher airspeed.",1,0,0,0
49,2001-11-19 18:19:00,Charter - IRS Aero,0,"Khatanga,Moscow-ru",0,"Kalyazin, Russia",LDF -9601/02,Ilyushin 18V,RA-75840,182005301,27,18,9,27,18,9,0,Residents heard a loud noise and saw flames in the night sky as the aircraft clipped treetops and summer homes before crashing into a snowy forest. Wreckage was spread over a 1.5 mile area. Serious maintenance violations and operational procedures were discovered during the investigation of the accident.,0,0,0,0
50,2001-11-22 13:05:00,Universal Jet Aviation,0,"pa,us",1,"Pittsburgh, Pennsylvania",?,Learjet 25B,N5UJ,25-088,2,0,2,2,0,2,0,"The cargo plane was not able to gain altitude, veered off the runway and crashed. The (undetermined) pilot-at-the-controls' early, and over rotation of the airplane's nose during the takeoff attempt, and his failure to maintain directional control. Also causal, was the captain's inadequate remedial action, both during the takeoff attempt and after the airplane departed the runway.",1,0,0,0
51,2001-11-23 18:35:00,ELK Aviation Co. (leased from Eminex),0,"Kardla,Tallinn-ee",0,"Palade, Estonia",?,Antonov AN-28,ES-NOV,1AJ003-03,17,14,3,2,2,0,0,The plane crashed into a marshy forested area about 2 kilometer short of its destination at Kardla Airport. Several errors by the pilot.,0,0,0,0
52,2001-11-24 22:07:00,Crossair,0,"ch,de",1,"Birchwil, Switzerland",3597,BAE Avro RJ100,HB-IXM,E-3291,33,28,5,24,21,3,0,"The aircraft was flying through a mix of rain and snow on final approach, when it crashed in a wooded area, 5.5 miles from Zurich Airport where it was scheduled to land on Runway 28.  At 22.03 the aircraft was descending to 4000 ft. on final approach.  At 22.05 the captain reported reaching the minimum descent altitude and stated he could see the ground. Shortly after, the radio altimeter reported 500 ft. agl, followed by a ""minimum"" warning. A go-around was ordered, but it was too late and the aircraft struck trees and crashed. American pop singer, Melanie Thornton, 34, killed. Maria Serano Serano and Nathaly van het Ende both 27, and members of the pop-music trio, Passion Fruit, also killed. The pilot had been working more than 13 hours when the accident took place and had also exceeded maximum duty several times in the days preceding the crash. A controlled flight into terrain caused by the captain deliberately descending below the minimum descent altitude without having the required visual contact with either the approach lights or the runway and the copilot making no attempt to prevent the continuation of the flight below the minimum descent altitude. The report revealed that the pilot had failed to perform correct navigation and landing procedures before, but no action had been taken by the airline.  The range of hills the plane crashed into was not marked in the Jeppesen approach chart used by the crew, despite the hilly terrain the approach to runway 28 was not equipped with a minimum safe altitude warning (MSAW) system, which triggers an alarm if a minimum safe altitude is violated, and the airport's means of determining visibility were inadequate for runway 28 and the visual minimums at the time of the accident were actually inappropriate for using the standard approach to runway 28.",0,1,0,0
53,2001-11-27 01:56:00,MK Airlines,0,"ng,lu",1,"Port Harcourt, Nigeria",?,Boeing 747-246F,9G-MKI,22063/432,13,0,13,1,0,1,0,"The cargo plane contacted the ground 700 meters short of the runway, broke in two and burned.",0,0,0,0
54,2001-12-01 01:43:00,"Military - Russian, cargo",1,"Anadyr,Bratsk,Moscow-ru",0,"Near Novaya Inya , Russia",-,Ilyushin IL- 76TD,RA-76839,1023411375,18,9,9,18,9,9,0,A fire broke out aboard the aircraft while en route at FL290. The crew was preparing for an emergency landing when two explosions tore apart the plane causing it to crash.,0,1,0,0
55,2001-12-14 00:00:00,Eagle Air,0,"cd,bj",1,"Geti, Democratic Republic Congo",?,Let 410A,5X-CNF,730208,6,4,2,6,4,2,0,The plane may have been shot down by Allied Democratic Forces rebels.,0,0,0,0
56,2001-12-16 10:21:00,Heliandes,0,"Medellin,Quibdo-co",0,"Near Medellin, Colombia",?,Let 410UVP-E,HK-4175X,861618,16,14,2,16,14,2,0,"The aircraft crashed into El Silencio de El manzanillo mountain at 7,800 ft., 3 minutes after taking off in heavy rain and poor visibility from Medellin Airport.",1,0,0,0
57,2001-12-26 10:20:00,BAL Bremerhaven Airline,0,"Bremerhaven,Wangerooge-de",0,"Bremerhaven, Germany",?,Britten Norman BN-2B Trislander,D-IAAI,2167,9,8,1,8,7,1,0,"The aircraft crashed into the Weser River shortly after taking off from Bremerhaven Airport. Three persons were pulled from the river, two of whom died shortly thereafter as a result of their injuries.",1,0,0,0
58,2002-01-04 12:07:00,Agco Corp,0,"Bangor,Birmingham,England,MA-gb",0,"Birmingham, England",?,Canadair CL-604,N90AG,5414,5,3,2,5,3,2,0,"After taking off, banked to the left, wing contacted ground, a fire erupted and the aircraft broke up. Failure of the crew to de-ice the wings before takeoff. Possible impairment of crew performance by the combined effects of a non-prescription drug, jet-lag and fatigue were also considered factors.",1,0,0,0
59,2002-01-09 00:00:00,Military - U.S. Air Force,1,"Jacobabad,Shamsi-pk",0,"Shamsi AFB, Pakistan",?,Lockheed Hercules KC-130R,160021,4702,7,0,7,7,0,7,0,While on approach the aircraft struck a hill a few hundred feet short of runway in poor weather.,0,1,0,0
60,2002-01-14 07:28:00,Ibertrans Aérea,0,No_identificado,2,"Bilbao, Spain",1278,Embraer EMB-120 Brasilia,EC-GTJ,120-024,3,0,3,3,0,3,0,"While descending, the cargo plane struck Mount Santa Maria Vieja, 35 km from the airport in fog and poor visibility.",0,0,0,0
